Year,Site,N.Sus,Tree_cover,Mean_temp,Annual_prec,pH,NH4,SO4,K,NO3,cv_prec,tot_prec_growing_season,mean_temp_growing_season,CDD_annuale,CDD_growing_season,DefM,Richness,Shrub_cover,TX90p_annual,Temp_seasonality,Forest_type
2009,PIE1,12,99.58,9.7,786.9,4.892,0.018,0.541,0.036,0.058,78.07,426.9,16.01,22,14,26.33,12,0.67,18.08,7.56,Nemoral beech forest
2009,PIE3,12,28.33,4.95,953.8,5.667,0.01,0.31,0.062,0.458,48.06,403.4,10.67,21,15,8.17,79,27.5,11.78,7.12,Boreal forest
2009,SAR1,12,87.92,15.42,963.2,NA,NA,NA,NA,NA,84.82,206.1,20.02,105,91,18.5,22,6.62,39.45,6.16,Mediterranean forest
2009,SIC1,12,65.42,15.91,764.6,NA,NA,NA,NA,NA,84.05,120.1,20.08,79,69,15,35,42.92,15.07,5.75,Nemoral oak forest
2009,TOS1,12,91.92,15.58,764.1,NA,NA,NA,NA,NA,76.48,118.9,21.35,82,69,15.83,26,25.08,27.67,7.06,Mediterranean forest
2009,TRE1,12,36.67,9.62,1050.3,4.261,0.031,0.339,0.343,0.01,52.28,445.1,16.37,21,20,13.17,16,0.58,26.85,7.93,Boreal forest
2009,VEN1,12,95.17,9.03,1178.8,NA,NA,NA,NA,NA,47.16,402.5,15.85,21,15,20.83,37,0,21.64,8.15,Nemoral beech forest
2009,VEN2,12,82.92,14.65,671,NA,NA,NA,NA,NA,53.87,213.5,22.19,43,43,27.76,27,43.33,31.23,8.66,Nemoral oak forest
2010,ABR2,12,74.83,11.23,1482.6,NA,NA,NA,NA,NA,76.32,368.9,16.35,30,25,19.5,63,10.75,20,6.45,Nemoral oak forest
2010,BAS1,12,75.33,12.54,1411,NA,NA,NA,NA,NA,60.95,338.4,17.05,33,31,15.17,80,7.92,10.96,5.95,Nemoral oak forest
2010,EMI2,12,81.75,10.46,1557,NA,NA,NA,NA,NA,55.81,419.5,16.68,23,23,17.68,22,9.5,4.93,7.56,Nemoral beech forest
2010,FRI1,12,90.92,12.67,1569.6,NA,NA,NA,NA,NA,55.05,540.5,19.34,17,13,25.48,55,35.75,9.59,7.72,Nemoral oak forest
2010,LAZ2,12,89.33,16.11,1088.2,NA,NA,NA,NA,NA,89.76,187.3,20.73,43,36,15,22,9.08,24.66,6.08,Mediterranean forest
